neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Harbor Gateway,2010,39331,38%,15053,63%,37%,6963,59%,29%,39331,0%,14%,15%,60%,0%,0%,2%,8%
Lopez/Kagel Canyons,2010,1389,29%,407,61%,39%,73,72%,48%,1389,0%,3%,22%,50%,0%,0%,1%,24%
Citrus,2010,12390,34%,4270,61%,39%,1248,57%,31%,12390,0%,5%,2%,70%,0%,0%,1%,22%
Lake Balboa,2010,26685,35%,9380,48%,52%,2684,61%,34%,26685,0%,10%,3%,41%,1%,1%,1%,43%
Granada Hills,2010,50574,36%,18228,35%,65%,4339,51%,28%,50574,0%,17%,3%,28%,0%,0%,3%,48%
Palms,2010,42703,39%,16633,63%,37%,18219,48%,22%,42703,0%,22%,11%,23%,0%,1%,3%,39%
Santa Monica,2010,86945,23%,19940,39%,61%,32215,45%,24%,86945,0%,10%,4%,12%,0%,0%,3%,71%
Pacoima,2010,72353,45%,32596,70%,30%,7340,59%,31%,72353,0%,2%,4%,90%,0%,0%,0%,3%
Toluca Lake,2010,8712,18%,1541,33%,67%,2469,49%,20%,8712,1%,8%,5%,8%,0%,0%,2%,75%
Veterans Administration,2010,1056,10%,105,36%,64%,107,46%,25%,1056,1%,7%,36%,6%,0%,0%,2%,48%
Valley Village,2010,23020,26%,6081,39%,61%,7471,52%,26%,23020,0%,7%,4%,16%,0%,0%,3%,69%
Brentwood,2010,33817,25%,8499,30%,70%,7323,45%,23%,33817,0%,9%,1%,7%,0%,0%,2%,81%
Pomona,2010,150332,35%,52794,65%,35%,16815,59%,31%,150332,0%,8%,8%,70%,0%,0%,1%,13%
South Whittier,2010,52744,29%,15497,62%,38%,5020,53%,24%,52744,0%,4%,1%,77%,0%,0%,1%,18%
Pasadena,2010,139392,30%,41384,52%,48%,29196,49%,26%,139392,0%,13%,11%,34%,0%,1%,2%,40%
Winnetka,2010,50544,43%,21766,55%,45%,6885,59%,33%,50544,0%,18%,4%,45%,0%,0%,2%,30%
Palmdale,2010,148426,25%,37335,56%,44%,12003,66%,35%,148426,0%,4%,13%,54%,0%,0%,2%,26%
Porter Ranch,2010,25915,35%,9132,20%,80%,609,45%,24%,25915,0%,26%,7%,11%,1%,1%,2%,54%
South El Monte,2010,20036,52%,10348,64%,36%,2545,61%,27%,20036,0%,15%,0%,81%,0%,0%,0%,3%
Tujunga Canyons,2010,7447,19%,1426,38%,62%,281,44%,16%,7447,0%,8%,6%,27%,0%,0%,2%,57%
Commerce,2010,13834,35%,4896,60%,40%,1612,53%,30%,13834,0%,1%,3%,89%,0%,0%,1%,5%
San Fernando,2010,23611,36%,8585,57%,43%,2806,63%,31%,23611,0%,1%,0%,91%,0%,0%,0%,7%
Sherman Oaks,2010,66252,25%,16767,40%,60%,18620,49%,25%,66252,0%,8%,4%,13%,0%,0%,3%,71%
Bradbury,2010,1142,29%,328,20%,80%,64,77%,70%,1142,0%,36%,2%,13%,0%,0%,0%,48%
Panorama City,2010,68181,55%,37172,66%,34%,11185,62%,31%,68181,0%,13%,3%,72%,0%,1%,1%,9%
Northridge,2010,59858,36%,21304,47%,53%,10018,53%,29%,59858,0%,17%,6%,32%,0%,0%,2%,43%
Culver City,2010,35570,26%,9172,37%,63%,6574,46%,22%,35570,0%,15%,8%,25%,0%,1%,4%,48%
Lakewood,2010,78756,21%,16266,37%,63%,6909,47%,20%,78756,1%,16%,8%,29%,1%,0%,3%,42%
Compton,2010,97332,30%,29593,76%,24%,10355,60%,34%,97332,0%,0%,33%,63%,1%,0%,2%,1%
Vernon,2010,511,46%,235,60%,40%,71,44%,25%,511,0%,5%,5%,82%,0%,0%,0%,7%
San Dimas,2010,35149,20%,6856,31%,69%,3404,44%,19%,35149,0%,11%,3%,28%,0%,0%,2%,55%
Inglewood,2010,111246,29%,31939,66%,34%,23490,56%,29%,111246,0%,1%,42%,50%,0%,0%,2%,3%
Charter Oak,2010,8133,20%,1623,40%,60%,1006,52%,19%,8133,0%,10%,1%,47%,0%,0%,1%,40%
Paramount,2010,54788,39%,21588,65%,35%,8031,64%,35%,54788,0%,2%,11%,78%,1%,0%,0%,7%
San Pedro,2010,77619,23%,18135,54%,46%,16622,52%,27%,77619,0%,5%,6%,46%,0%,0%,3%,40%
Lincoln Heights,2010,30007,50%,14859,63%,37%,6217,59%,30%,30007,0%,23%,1%,71%,0%,0%,1%,4%
Boyle Heights,2010,90158,49%,44369,74%,26%,17214,60%,30%,90158,0%,3%,1%,94%,0%,0%,0%,2%
Historic South-Central,2010,46919,51%,24090,84%,16%,8363,66%,35%,46919,0%,1%,7%,91%,0%,0%,0%,1%
Avalon,2010,3599,30%,1077,77%,23%,897,50%,18%,3599,0%,0%,0%,62%,0%,0%,1%,37%
Westlake,2010,103027,64%,65896,76%,24%,33817,58%,29%,103027,0%,20%,4%,70%,0%,0%,1%,5%
Mission Hills,2010,19352,39%,7644,40%,60%,1253,61%,26%,19352,0%,15%,2%,61%,0%,0%,1%,21%
Quartz Hill,2010,9902,9%,890,34%,66%,819,48%,20%,9902,1%,4%,11%,22%,0%,0%,3%,59%
Marina del Rey,2010,8957,26%,2361,54%,46%,5219,48%,24%,8957,0%,7%,7%,7%,0%,0%,2%,77%
Bell,2010,35081,48%,16678,76%,24%,6530,54%,29%,35081,0%,0%,0%,93%,0%,0%,0%,6%
Long Beach,2010,460603,27%,126590,59%,41%,91915,54%,29%,460603,0%,13%,13%,41%,1%,0%,3%,29%
San Gabriel,2010,40915,55%,22570,42%,58%,6548,53%,29%,40915,0%,59%,1%,26%,0%,0%,2%,12%
Downey,2010,111295,36%,39695,50%,50%,16222,52%,24%,111295,0%,8%,3%,70%,0%,0%,1%,18%
Diamond Bar,2010,45496,43%,19658,33%,67%,2502,62%,25%,45496,0%,52%,3%,18%,0%,0%,2%,24%
La Canada Flintridge,2010,21357,25%,5367,30%,70%,1081,42%,20%,21357,1%,26%,0%,5%,0%,0%,2%,67%
West Covina,2010,108509,35%,38022,39%,61%,10154,58%,26%,108509,0%,24%,4%,54%,0%,0%,1%,16%
Redondo Beach,2010,65838,19%,12250,35%,65%,13953,42%,21%,65838,0%,12%,3%,15%,0%,0%,4%,66%
Vermont Square,2010,47625,39%,18795,77%,23%,8703,66%,42%,47625,0%,1%,33%,64%,0%,0%,1%,1%
Santa Fe Springs,2010,20545,23%,4797,52%,48%,2266,51%,24%,20545,1%,3%,3%,81%,0%,0%,1%,12%
Calabasas,2010,20857,25%,5294,27%,73%,1214,49%,27%,20857,0%,8%,2%,8%,0%,0%,1%,80%
Altadena,2010,43475,19%,8239,39%,61%,3609,48%,25%,43475,0%,4%,25%,28%,0%,1%,3%,39%
Bell Gardens,2010,42473,47%,19918,75%,25%,7521,53%,30%,42473,0%,1%,0%,96%,0%,0%,0%,3%
Sun Valley,2010,71309,49%,34833,56%,44%,8908,62%,33%,71309,0%,9%,3%,70%,0%,0%,0%,17%
Playa Vista,2010,8386,22%,1885,46%,54%,2382,56%,22%,8386,1%,22%,10%,18%,0%,1%,6%,44%
Carson,2010,90543,33%,30209,42%,58%,5905,47%,23%,90543,0%,26%,23%,37%,3%,0%,3%,7%
Hollywood Hills,2010,21592,21%,4479,41%,59%,6579,44%,26%,21592,0%,7%,5%,9%,0%,0%,3%,75%
Lancaster,2010,150460,13%,19721,54%,46%,17687,58%,34%,150460,1%,5%,18%,36%,0%,0%,2%,38%
Leona Valley,2010,2110,10%,214,37%,63%,70,78%,28%,2110,0%,3%,5%,11%,0%,0%,4%,77%
Whittier,2010,81322,21%,16748,47%,53%,11371,51%,24%,81322,0%,3%,1%,66%,0%,0%,1%,28%
Walnut,2010,29205,47%,13597,27%,73%,880,55%,19%,29205,0%,62%,3%,18%,0%,0%,2%,14%
Castaic Canyons,2010,45782,15%,6986,44%,56%,1737,43%,25%,45782,0%,7%,7%,28%,0%,0%,5%,52%
Silver Lake,2010,32263,30%,9641,45%,55%,9065,46%,20%,32263,0%,18%,3%,35%,0%,0%,3%,41%
Whittier Narrows,2010,6614,45%,2973,37%,63%,541,51%,27%,6614,1%,30%,0%,64%,0%,0%,1%,4%
Glendale,2010,190938,54%,104049,41%,59%,43291,60%,34%,190938,0%,16%,2%,17%,0%,0%,1%,64%
West Whittier-Los Nietos,2010,23818,27%,6436,54%,46%,1922,52%,31%,23818,0%,1%,1%,88%,0%,0%,0%,10%
Atwater Village,2010,11853,42%,4947,43%,57%,2988,48%,26%,11853,0%,20%,1%,47%,0%,0%,1%,31%
East Whittier,2010,10015,16%,1579,34%,66%,1185,51%,25%,10015,0%,4%,0%,48%,0%,0%,3%,45%
El Sereno,2010,42537,40%,16974,56%,44%,6098,53%,26%,42537,0%,11%,2%,82%,0%,0%,1%,5%
Montecito Heights,2010,17920,39%,6929,51%,49%,2802,55%,26%,17920,1%,19%,4%,58%,0%,0%,1%,17%
Florence,2010,48204,44%,21385,77%,23%,7832,61%,38%,48204,0%,0%,20%,79%,0%,0%,0%,1%
Huntington Park,2010,60241,51%,30775,72%,29%,10544,57%,28%,60241,0%,1%,0%,97%,0%,0%,0%,1%
Cheviot Hills,2010,8527,18%,1560,31%,69%,1126,36%,18%,8527,0%,7%,1%,8%,0%,0%,2%,81%
Cypress Park,2010,9589,51%,4843,59%,41%,1666,56%,26%,9589,0%,8%,0%,86%,0%,0%,0%,5%
Desert View Highlands,2010,2007,24%,476,51%,49%,146,43%,11%,2007,0%,8%,12%,40%,0%,0%,2%,38%
Baldwin Park,2010,74770,46%,34045,56%,44%,6395,59%,32%,74770,0%,12%,1%,81%,0%,0%,1%,5%
Montebello,2010,62270,38%,23817,50%,50%,9903,51%,25%,62270,0%,11%,1%,79%,0%,0%,0%,9%
Leimert Park,2010,13520,12%,1617,50%,50%,3367,59%,36%,13520,0%,4%,76%,15%,1%,2%,1%,1%
Santa Clarita,2010,170929,22%,37167,52%,48%,17882,54%,26%,170929,0%,9%,3%,29%,0%,0%,4%,54%
Elysian Park,2010,2407,54%,1297,51%,49%,665,52%,34%,2407,0%,44%,1%,40%,2%,0%,0%,13%
Wilmington,2010,55827,39%,22021,69%,31%,8277,56%,29%,55827,0%,2%,2%,88%,1%,0%,1%,6%
Jefferson Park,2010,25076,40%,10144,67%,33%,5771,63%,34%,25076,0%,2%,33%,58%,0%,1%,1%,5%
Downtown,2010,38218,38%,14675,59%,41%,15760,55%,25%,38218,1%,24%,21%,32%,0%,0%,2%,20%
Encino,2010,43298,35%,14956,31%,69%,7126,57%,33%,43298,0%,7%,3%,11%,0%,1%,2%,77%
West Adams,2010,21528,40%,8525,64%,36%,4580,59%,31%,21528,0%,1%,28%,67%,0%,1%,0%,3%
Hawaiian Gardens,2010,15343,44%,6802,63%,37%,1836,58%,29%,15343,0%,14%,3%,70%,0%,0%,1%,11%
Agoura Hills,2010,17690,18%,3215,32%,68%,1352,49%,39%,17690,0%,7%,2%,11%,0%,0%,2%,78%
Baldwin Hills/Crenshaw,2010,29200,24%,6888,63%,37%,9568,61%,35%,29200,0%,5%,65%,24%,0%,0%,2%,3%
Lake View Terrace,2010,12876,34%,4317,57%,43%,1060,48%,22%,12876,0%,8%,11%,57%,0%,0%,1%,22%
Adams-Normandie,2010,18569,45%,8430,70%,30%,4125,67%,37%,18569,0%,7%,18%,66%,0%,0%,0%,7%
El Monte,2010,107771,53%,57200,59%,41%,15509,60%,31%,107771,0%,25%,0%,68%,0%,0%,0%,5%
Rancho Dominguez,2010,2401,19%,466,54%,46%,100,38%,12%,2401,0%,7%,37%,33%,0%,0%,1%,23%
Acton,2010,2901,8%,225,29%,71%,101,71%,19%,2901,0%,1%,0%,16%,0%,0%,2%,80%
Studio City,2010,36002,23%,8308,33%,67%,9348,44%,22%,36002,0%,9%,4%,11%,0%,0%,2%,74%
La Puente,2010,41036,42%,17144,62%,38%,3556,57%,28%,41036,0%,7%,0%,87%,0%,0%,0%,6%
North Hollywood,2010,78435,43%,33599,60%,40%,22249,55%,26%,78435,0%,6%,5%,57%,0%,0%,1%,30%
Rosemead,2010,51905,57%,29468,39%,61%,6796,57%,29%,51905,0%,59%,0%,34%,0%,0%,1%,6%
San Marino,2010,13105,38%,4984,25%,75%,289,22%,11%,13105,0%,51%,0%,8%,0%,0%,3%,38%
East San Gabriel,2010,20822,49%,10127,39%,61%,2796,53%,28%,20822,0%,51%,1%,23%,0%,0%,2%,23%
South Park,2010,34011,49%,16545,82%,18%,5524,63%,42%,34011,0%,0%,13%,85%,0%,0%,1%,1%
Burbank,2010,102456,32%,33188,38%,62%,23028,48%,25%,102456,0%,11%,2%,25%,0%,0%,2%,60%
Woodland Hills,2010,54731,26%,14078,35%,65%,7285,47%,24%,54731,0%,9%,4%,10%,0%,0%,4%,72%
Angeles Crest,2010,4803,18%,871,33%,67%,231,42%,10%,4803,0%,5%,7%,32%,0%,0%,3%,53%
East Compton,2010,11301,38%,4350,75%,25%,1101,58%,32%,11301,0%,1%,18%,79%,0%,0%,1%,1%
Chatsworth,2010,47494,30%,14117,36%,64%,4726,52%,23%,47494,0%,18%,4%,20%,0%,1%,2%,55%
Mayflower Village,2010,10393,40%,4109,53%,47%,747,49%,21%,10393,0%,18%,5%,53%,0%,0%,1%,23%
Koreatown,2010,109618,66%,72102,73%,27%,39691,57%,29%,109618,0%,37%,5%,49%,0%,0%,1%,8%
South Gate,2010,94663,46%,43240,64%,36%,13249,57%,28%,94663,0%,1%,0%,95%,0%,0%,0%,3%
Elysian Valley,2010,7615,49%,3704,58%,42%,1344,52%,27%,7615,0%,26%,1%,64%,0%,0%,1%,8%
Claremont,2010,38615,17%,6399,32%,68%,3916,58%,29%,38615,0%,10%,4%,20%,0%,0%,4%,61%
Avocado Heights,2010,13669,35%,4738,56%,44%,811,56%,37%,13669,0%,9%,1%,81%,0%,1%,1%,7%
South San Gabriel,2010,8370,45%,3805,31%,69%,766,54%,22%,8370,0%,48%,0%,48%,0%,0%,1%,3%
Northwest Antelope Valley,2010,5032,12%,595,36%,64%,215,56%,32%,5032,0%,5%,3%,17%,0%,1%,3%,70%
Echo Park,2010,34398,45%,15572,60%,40%,9297,53%,27%,34398,0%,16%,2%,58%,0%,1%,1%,21%
Lynwood,2010,68270,40%,27258,69%,31%,7576,62%,35%,68270,0%,0%,11%,84%,0%,0%,1%,3%
Unincorporated Santa Susana Mountains,2010,21278,24%,5204,43%,57%,1975,51%,27%,21278,0%,20%,3%,22%,0%,1%,3%,51%
Shadow Hills,2010,13055,36%,4736,26%,74%,956,39%,20%,13055,0%,8%,1%,21%,0%,0%,1%,69%
La Habra Heights,2010,8823,19%,1696,26%,74%,174,76%,26%,8823,0%,14%,0%,27%,0%,0%,2%,57%
Covina,2010,52813,22%,11489,43%,57%,6840,52%,29%,52813,0%,10%,4%,51%,0%,0%,2%,32%
Northwest Palmdale,2010,3677,12%,436,26%,74%,131,49%,34%,3677,0%,3%,6%,28%,0%,0%,1%,62%
Sawtelle,2010,39245,35%,13559,55%,45%,14716,46%,24%,39245,0%,22%,3%,23%,0%,0%,3%,49%
Rancho Park,2010,5263,33%,1750,63%,37%,1270,51%,28%,5263,0%,30%,2%,9%,0%,0%,2%,56%
East Los Angeles,2010,121781,45%,54254,71%,29%,19779,54%,28%,121781,0%,1%,0%,98%,0%,0%,0%,1%
Beverlywood,2010,7097,23%,1609,25%,75%,892,59%,36%,7097,0%,7%,2%,7%,0%,0%,2%,81%
Bellflower,2010,75857,30%,22759,57%,43%,14606,53%,27%,75857,0%,12%,13%,51%,0%,1%,1%,22%
Azusa,2010,44482,34%,15141,60%,40%,5184,57%,29%,44482,0%,7%,3%,70%,0%,0%,1%,19%
Del Rey,2010,28142,35%,9763,58%,42%,6184,45%,19%,28142,0%,14%,5%,38%,0%,0%,3%,40%
Mid-Wilshire,2010,41147,32%,13316,52%,48%,15538,48%,24%,41147,0%,23%,19%,18%,0%,0%,4%,36%
North Whittier,2010,6720,23%,1534,40%,60%,407,48%,31%,6720,0%,10%,2%,56%,0%,0%,2%,29%
Beverly Crest,2010,11116,20%,2219,24%,76%,447,19%,13%,11116,0%,4%,0%,4%,0%,1%,2%,88%
Cerritos,2010,49457,46%,22789,26%,74%,2826,55%,28%,49457,0%,63%,7%,11%,0%,0%,3%,16%
West Hills,2010,37818,26%,9737,32%,68%,1970,58%,33%,37818,0%,14%,3%,15%,0%,0%,2%,66%
Vincent,2010,13978,31%,4266,49%,51%,1108,53%,23%,13978,0%,9%,5%,71%,0%,0%,0%,15%
Sun Village,2010,1497,24%,352,65%,35%,111,73%,30%,1497,0%,1%,7%,59%,0%,0%,1%,32%
Playa del Rey,2010,10965,20%,2140,38%,62%,2864,41%,20%,10965,0%,11%,6%,11%,0%,0%,4%,68%
Valinda,2010,18843,40%,7609,52%,48%,1137,61%,25%,18843,0%,14%,2%,75%,0%,0%,1%,8%
Tujunga,2010,27997,41%,11352,43%,57%,4222,59%,32%,27997,0%,9%,2%,24%,0%,0%,2%,63%
Exposition Park,2010,32113,43%,13831,74%,26%,6698,65%,38%,32113,0%,3%,28%,63%,0%,1%,1%,3%
Eagle Rock,2010,35232,38%,13449,42%,58%,5068,48%,21%,35232,0%,27%,3%,40%,0%,1%,2%,27%
Harbor City,2010,26715,33%,8908,64%,36%,4018,53%,25%,26715,0%,13%,8%,51%,3%,0%,3%,21%
Southeast Antelope Valley,2010,7756,17%,1329,34%,66%,439,50%,24%,7756,0%,4%,4%,29%,0%,0%,3%,59%
Reseda,2010,67199,46%,31055,55%,45%,9723,58%,28%,67199,0%,14%,3%,52%,0%,0%,2%,29%
Willowbrook,2010,35255,27%,9627,72%,28%,4414,60%,37%,35255,0%,0%,41%,56%,0%,0%,1%,1%
Highland Park,2010,54497,42%,23139,61%,39%,10036,51%,28%,54497,0%,11%,2%,72%,0%,0%,1%,13%
Temple City,2010,35434,46%,16159,32%,68%,4133,52%,27%,35434,0%,56%,1%,19%,0%,0%,1%,23%
Westlake Village,2010,7769,14%,1053,25%,75%,418,38%,22%,7769,0%,5%,1%,7%,0%,0%,1%,85%
Pico-Robertson,2010,15968,32%,5090,29%,71%,5925,56%,34%,15968,0%,7%,5%,9%,0%,0%,3%,76%
Monrovia,2010,38055,25%,9482,50%,50%,6967,47%,26%,38055,0%,12%,6%,38%,0%,0%,2%,41%
Broadway-Manchester,2010,25926,35%,9161,78%,22%,4156,71%,46%,25926,0%,0%,34%,64%,0%,0%,0%,1%
Sunland,2010,14446,33%,4793,38%,62%,1428,61%,27%,14446,0%,10%,1%,26%,0%,0%,2%,60%
Agua Dulce,2010,3862,10%,389,28%,72%,83,57%,26%,3862,0%,4%,0%,18%,0%,0%,2%,76%
Malibu,2010,9005,11%,1015,26%,74%,805,38%,21%,9005,0%,4%,1%,7%,0%,0%,5%,83%
Topanga,2010,6947,16%,1134,45%,55%,413,41%,19%,6947,0%,3%,3%,8%,0%,1%,2%,83%
Northeast Antelope Valley,2010,20886,16%,3294,64%,36%,1482,59%,23%,20886,0%,1%,9%,47%,0%,0%,1%,40%
Arleta,2010,33414,48%,15894,55%,45%,1926,62%,32%,33414,0%,10%,1%,80%,0%,0%,1%,8%
Van Nuys,2010,106842,50%,52890,67%,33%,25536,60%,33%,106842,0%,7%,4%,63%,0%,1%,1%,23%
Mar Vista,2010,35772,28%,10189,56%,44%,9580,48%,25%,35772,0%,14%,4%,26%,0%,0%,3%,53%
Valley Glen,2010,56532,48%,27417,54%,46%,12741,59%,32%,56532,0%,6%,3%,45%,0%,1%,1%,44%
Arcadia,2010,59862,49%,29290,38%,62%,7218,49%,25%,59862,0%,56%,1%,14%,0%,0%,2%,27%
Windsor Square,2010,6804,49%,3345,59%,41%,1615,50%,25%,6804,0%,41%,4%,17%,0%,2%,2%,34%
West Puente Valley,2010,19629,42%,8165,50%,50%,1000,59%,33%,19629,0%,9%,1%,84%,0%,0%,0%,6%
Central-Alameda,2010,41646,49%,20441,85%,15%,6528,67%,36%,41646,0%,1%,8%,90%,0%,0%,0%,1%
Arlington Heights,2010,20663,53%,10977,66%,34%,5686,59%,30%,20663,0%,19%,21%,54%,0%,0%,1%,5%
Harvard Heights,2010,17717,57%,10132,70%,30%,4661,62%,34%,17717,0%,21%,12%,62%,0%,0%,1%,4%
Harvard Park,2010,9783,36%,3518,73%,27%,1538,64%,38%,9783,0%,1%,41%,55%,0%,1%,0%,2%
East Hollywood,2010,68965,62%,42635,67%,33%,21238,58%,30%,68965,0%,18%,3%,58%,0%,1%,1%,19%
Lennox,2010,19011,52%,9907,74%,26%,3077,62%,38%,19011,0%,1%,5%,90%,0%,0%,0%,3%
Larchmont,2010,8153,48%,3931,48%,52%,2720,53%,23%,8153,0%,30%,2%,32%,0%,1%,1%,33%
Tarzana,2010,36325,37%,13458,37%,63%,5487,56%,28%,36325,0%,6%,3%,18%,0%,0%,3%,70%
Rolling Hills,2010,2951,19%,572,21%,79%,76,21%,10%,2951,0%,19%,1%,7%,0%,0%,3%,70%
Mid-City,2010,54247,33%,17760,62%,38%,12918,54%,28%,54247,0%,4%,29%,49%,0%,0%,2%,16%
Westchester,2010,41163,18%,7477,38%,62%,7139,46%,28%,41163,0%,11%,16%,17%,0%,1%,4%,51%
Manchester Square,2010,11721,14%,1694,54%,46%,1770,68%,41%,11721,0%,1%,72%,22%,0%,1%,2%,1%
Rowland Heights,2010,44212,55%,24438,44%,56%,4129,60%,36%,44212,0%,58%,1%,29%,0%,0%,1%,11%
Ridge Route,2010,7062,17%,1209,41%,59%,684,57%,30%,7062,0%,7%,3%,23%,0%,1%,3%,62%
South San Jose Hills,2010,20135,42%,8450,59%,41%,1318,53%,20%,20135,0%,8%,1%,87%,0%,0%,0%,4%
Vermont-Slauson,2010,27306,41%,11149,77%,23%,4992,64%,40%,27306,0%,1%,30%,68%,0%,0%,0%,1%
Athens,2010,8856,26%,2276,71%,29%,1362,54%,36%,8856,0%,2%,58%,37%,0%,0%,2%,2%
Mount Washington,2010,14589,36%,5247,56%,45%,1783,54%,30%,14589,0%,11%,3%,53%,0%,2%,2%,28%
West Compton,2010,7310,25%,1827,73%,27%,491,46%,19%,7310,0%,3%,46%,42%,0%,2%,2%,5%
Los Feliz,2010,31885,36%,11615,43%,57%,12667,49%,27%,31885,0%,14%,3%,15%,0%,1%,2%,66%
Chinatown,2010,13898,50%,6928,53%,47%,2932,58%,33%,13898,0%,44%,14%,31%,1%,0%,1%,9%
Century City,2010,5772,29%,1688,43%,57%,1053,40%,25%,5772,0%,15%,1%,7%,0%,0%,1%,74%
Florence-Firestone,2010,59671,43%,25618,77%,23%,8478,64%,38%,59671,0%,0%,11%,88%,0%,0%,0%,1%
University Park,2010,23998,33%,7882,75%,25%,4832,63%,44%,23998,0%,20%,6%,38%,0%,1%,1%,34%
Hollywood Hills West,2010,14085,21%,3014,45%,55%,2417,52%,22%,14085,0%,4%,4%,5%,0%,0%,2%,85%
Unincorporated Santa Monica Mountains,2010,22169,17%,3732,33%,67%,1956,50%,28%,22169,1%,8%,2%,8%,0%,0%,4%,78%
West Los Angeles,2010,11707,29%,3345,32%,69%,3034,45%,29%,11707,0%,16%,2%,7%,0%,0%,2%,73%
Hancock Park,2010,11058,19%,2114,37%,63%,2345,50%,23%,11058,0%,12%,4%,6%,0%,0%,3%,74%
Canoga Park,2010,53189,45%,23927,67%,33%,11064,61%,32%,53189,0%,14%,3%,56%,0%,1%,1%,24%
Chesterfield Square,2010,8301,31%,2572,73%,27%,1367,61%,35%,8301,0%,0%,49%,47%,0%,1%,1%,2%
Hidden Hills,2010,2346,21%,504,20%,80%,163,42%,30%,2346,0%,6%,5%,11%,0%,0%,1%,77%
Norwalk,2010,104427,37%,38231,48%,52%,9358,52%,26%,104427,0%,14%,5%,68%,0%,0%,1%,13%
North El Monte,2010,2618,40%,1044,25%,75%,210,57%,14%,2618,3%,36%,0%,35%,0%,1%,1%,24%
Monterey Park,2010,60241,54%,32712,35%,65%,9018,56%,29%,60241,0%,65%,0%,28%,0%,0%,2%,5%
Hollywood,2010,72229,46%,33165,60%,40%,32764,55%,28%,72229,0%,7%,5%,40%,0%,0%,2%,46%
Fairfax,2010,12565,22%,2751,43%,57%,4862,46%,20%,12565,1%,5%,4%,8%,0%,0%,3%,79%
Glassell Park,2010,24905,43%,10691,53%,47%,4075,48%,23%,24905,0%,18%,1%,65%,0%,0%,1%,14%
Watts,2010,38077,32%,12078,77%,23%,6308,67%,39%,38077,0%,0%,29%,69%,0%,0%,0%,1%
La Verne,2010,30776,13%,3937,36%,64%,2609,47%,25%,30776,0%,7%,4%,29%,0%,0%,2%,58%
Rancho Palos Verdes,2010,40622,30%,12073,39%,61%,3104,48%,24%,40622,0%,29%,3%,10%,0%,0%,3%,55%
Green Meadows,2010,32217,34%,10931,76%,24%,4513,70%,42%,32217,0%,0%,33%,65%,0%,0%,0%,1%
Del Aire,2010,8521,29%,2442,44%,56%,976,48%,19%,8521,0%,10%,6%,53%,0%,0%,1%,30%
Vermont Knolls,2010,22187,35%,7742,79%,21%,4852,65%,41%,22187,0%,1%,38%,58%,0%,0%,1%,2%
Castaic,2010,10560,15%,1563,25%,75%,240,18%,0%,10560,0%,10%,7%,18%,0%,0%,2%,63%
Westwood,2010,46423,27%,12754,46%,54%,11427,59%,40%,46423,0%,25%,2%,9%,0%,1%,3%,60%
Venice,2010,33980,18%,6082,54%,46%,11076,48%,21%,33980,0%,6%,6%,17%,0%,0%,3%,69%
